donor_id,wealth_rating,property_value_estimate,estimated_income_band,philanthropic_capacity_score,screening_date,data_source
3406,D,175533,"£25,000-£40,000",44,2024-04-13,External Screening
2786,C,268795,"£40,000-£75,000",52,2024-04-23,External Screening
3232,C,379364,"£40,000-£75,000",63,2024-01-22,External Screening
5025,C,319888,"£40,000-£75,000",47,2024-02-12,External Screening
2867,D,187830,"£25,000-£40,000",40,2024-05-28,External Screening
2557,C,275025,"£40,000-£75,000",58,2024-06-09,External Screening
2383,C,324475,"£40,000-£75,000",63,2024-01-27,External Screening
6590,C,330460,"£40,000-£75,000",48,2024-03-05,External Screening
3169,D,161059,"£25,000-£40,000",25,2024-02-15,External Screening
5168,C,324626,"£40,000-£75,000",52,2024-06-05,External Screening
3529,A,1040491,"£150,000+",100,2024-02-07,External Screening
2856,C,293203,"£40,000-£75,000",59,2024-05-26,External Screening
5171,C,319176,"£40,000-£75,000",58,2024-03-08,External Screening
5438,A,1738006,"£150,000+",90,2024-05-18,External Screening
5838,D,191636,"£25,000-£40,000",26,2024-03-12,External Screening
6635,D,153926,"£25,000-£40,000",41,2024-06-28,External Screening
1757,D,231825,"£25,000-£40,000",42,2024-06-01,External Screening
3935,D,177877,"£25,000-£40,000",29,2024-04-22,External Screening
1515,B,425119,"£75,000-£150,000",82,2024-06-08,External Screening
4176,D,195561,"£25,000-£40,000",27,2024-05-14,External Screening
6381,C,259442,"£40,000-£75,000",52,2024-01-10,External Screening
2605,B,718625,"£75,000-£150,000",72,2024-04-17,External Screening
7154,B,749290,"£75,000-£150,000",63,2024-02-27,External Screening
3297,D,243817,"£25,000-£40,000",36,2024-06-01,External Screening
6414,D,221653,"£25,000-£40,000",26,2024-02-28,External Screening
6752,C,369369,"£40,000-£75,000",43,2024-02-25,External Screening
5877,B,644033,"£75,000-£150,000",67,2024-02-22,External Screening
7076,E,114552,"<£25,000",28,2024-06-21,External Screening
6288,C,329455,"£40,000-£75,000",57,2024-03-05,External Screening
2541,C,392302,"£40,000-£75,000",41,2024-06-07,External Screening
5382,C,337545,"£40,000-£75,000",50,2024-04-28,External Screening
6744,C,382171,"£40,000-£75,000",59,2024-01-19,External Screening
6242,B,682389,"£75,000-£150,000",82,2024-04-04,External Screening
1625,D,249815,"£25,000-£40,000",33,2024-05-12,External Screening
7311,C,352831,"£40,000-£75,000",54,2024-02-27,External Screening
5793,C,370649,"£40,000-£75,000",46,2024-02-03,External Screening
1397,A,1261487,"£150,000+",96,2024-06-20,External Screening
4807,D,216530,"£25,000-£40,000",25,2024-02-18,External Screening
6488,C,332124,"£40,000-£75,000",44,2024-04-17,External Screening
4637,D,192689,"£25,000-£40,000",29,2024-05-06,External Screening
6296,C,315521,"£40,000-£75,000",51,2024-04-25,External Screening
4017,D,213757,"£25,000-£40,000",30,2024-04-17,External Screening
3539,D,151169,"£25,000-£40,000",45,2024-03-16,External Screening
2232,C,316405,"£40,000-£75,000",53,2024-02-01,External Screening
1083,D,224493,"£25,000-£40,000",44,2024-01-27,External Screening
4323,D,152770,"£25,000-£40,000",45,2024-02-04,External Screening
3679,A,1204460,"£150,000+",95,2024-03-26,External Screening
1387,C,292082,"£40,000-£75,000",54,2024-06-06,External Screening
5859,C,267243,"£40,000-£75,000",45,2024-04-26,External Screening
1900,C,312415,"£40,000-£75,000",40,2024-06-19,External Screening
3080,C,389709,"£40,000-£75,000",48,2024-04-13,External Screening
3684,D,196703,"£25,000-£40,000",44,2024-02-23,External Screening
2476,C,300745,"£40,000-£75,000",63,2024-01-14,External Screening
5909,C,344682,"£40,000-£75,000",53,2024-04-21,External Screening
2183,E,78093,"<£25,000",17,2024-01-06,External Screening
4394,A,1016163,"£150,000+",77,2024-04-16,External Screening
2724,A,1867781,"£150,000+",100,2024-02-26,External Screening
4676,C,390999,"£40,000-£75,000",48,2024-03-06,External Screening
1903,C,325038,"£40,000-£75,000",59,2024-03-09,External Screening
1814,C,350519,"£40,000-£75,000",54,2024-05-19,External Screening
5728,A,1447647,"£150,000+",83,2024-06-23,External Screening
5771,C,368539,"£40,000-£75,000",56,2024-04-28,External Screening
5833,C,267463,"£40,000-£75,000",43,2024-03-08,External Screening
4827,C,363088,"£40,000-£75,000",54,2024-03-21,External Screening
2409,D,152997,"£25,000-£40,000",34,2024-05-24,External Screening
